,City,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
44,Tuktoyaktuk,69.45,-133.04,272.15,86,75,1.93,CA,1586997181
45,Mataura,-46.19,168.86,285.37,65,50,6.26,NZ,1586997167
46,Hithadhoo,-0.6,73.08,302.14,73,88,4.41,MV,1586997173
47,Gornopravdinsk,60.05,69.9,271.9,97,77,1.81,RU,1586997405
48,Bairiki Village,1.33,172.98,305.15,66,75,4.6,KI,1586997696
49,Gunnedah,-30.98,150.25,295.15,68,60,2.6,AU,1586997696
50,Lavrentiya,65.58,-171.0,271.96,94,37,2.26,RU,1586997488
51,Tongliao,43.61,122.27,287.04,34,100,2.52,CN,1586997696
52,Buala,-8.14,159.59,302.96,71,99,2.72,SB,1586997496
53,Kahului,20.89,-156.47,301.15,58,1,9.8,US,1586997598
54,The Pas,53.83,-101.25,272.15,50,90,5.7,CA,1586997698
55,Castro,-24.79,-50.01,283.7,43,0,0.19,BR,1586997167
56,Baghdad,33.34,44.4,289.15,44,0,0.5,IQ,1586997180
57,Mareeba,-17.0,145.43,299.82,88,75,4.1,AU,1586997699
58,Vila Velha,-20.33,-40.29,299.15,83,99,1.5,BR,1586997699
59,Alice Springs,-23.7,133.88,304.15,14,4,2.1,AU,1586997699
60,La Orilla,17.98,-102.23,300.23,54,37,3.21,MX,1586997699
61,Benguela,-12.58,13.41,298.73,83,45,0.68,AO,1586997700
62,Saint-Pierre,-21.34,55.48,297.15,69,20,4.6,RE,1586997470
63,Zlobin,45.29,14.65,281.48,55,45,3.13,HR,1586997700
64,Saint George,37.1,-113.58,295.15,14,1,6.7,US,1586997275
65,Airai,-8.93,125.41,290.22,76,100,0.83,TL,1586997650
66,Bereda,43.27,-7.54,285.15,87,64,4.1,ES,1586997701
67,Moose Factory,51.26,-80.61,269.15,41,1,3.6,CA,1586997107
68,Hilo,19.73,-155.09,300.15,57,90,4.6,US,1586997450
69,Norman Wells,65.28,-126.83,280.15,45,75,3.1,CA,1586997619
70,Bluff,-46.6,168.33,285.37,65,70,6.26,NZ,1586997175
71,Santa Maria,-29.68,-53.81,289.15,44,0,3.1,BR,1586997702
72,Sitka,57.05,-135.33,281.15,87,90,1.5,US,1586997480
73,Zyryanka,65.75,150.85,257.64,93,100,7.42,RU,1586997703
74,Harboøre,56.62,8.18,281.48,81,11,7.7,DK,1586997460
75,Yangi Marg`ilon,40.43,71.72,281.15,81,43,1.0,UZ,1586997157
76,Mossamedes,-15.2,12.15,297.18,68,37,2.61,AO,1586997704
77,Erzin,36.96,36.2,288.15,82,75,1.0,TR,1586997694
78,Jamestown,42.1,-79.24,274.26,92,90,4.1,US,1586997168
79,Manono,-7.3,27.42,295.06,77,73,0.69,CD,1586997652
80,Carnarvon,-24.87,113.63,297.15,50,55,5.7,AU,1586997656
81,Fortuna,40.6,-124.16,287.59,87,75,6.7,US,1586997647
82,Barra de Tecoanapa,16.52,-98.75,301.68,58,30,3.1,MX,1586997706
83,Clyde River,70.47,-68.59,257.15,91,90,8.7,CA,1586997637
84,Angren,41.02,70.14,279.58,53,90,0.67,UZ,1586997706
85,Alekseyevsk,57.84,108.35,277.47,73,5,1.76,RU,1586997707
86,Denia,38.84,0.11,289.26,90,100,0.45,ES,1586997707
87,Arraial do Cabo,-22.97,-42.03,298.15,88,40,1.5,BR,1586997181
88,Berlevåg,70.86,29.09,273.62,91,15,7.15,NO,1586997402
89,Saint-Philippe,-21.36,55.77,297.15,69,20,4.6,RE,1586997179
90,Lebu,-37.62,-73.65,286.17,81,98,3.35,CL,1586997171
91,Ribeira Grande,38.52,-28.7,286.34,70,53,9.42,PT,1586997185
92,Thompson,55.74,-97.86,269.15,45,40,4.6,CA,1586997416
93,Saldanha,-33.01,17.94,288.15,82,25,3.1,ZA,1586997463
94,Lüderitz,-26.65,15.16,290.15,55,0,2.1,NA,1586997394
95,East London,-33.02,27.91,290.78,76,20,4.77,ZA,1586997177
96,Bengkulu,-3.8,102.27,298.98,81,87,1.96,ID,1586997638
97,Flinders,-34.58,150.86,297.15,41,100,4.6,AU,1586997710
98,Upernavik,72.79,-56.15,264.06,89,61,3.21,GL,1586997166
99,Torbay,47.67,-52.73,275.37,100,90,5.77,CA,1586997173
100,Cherskiy,68.75,161.3,259.81,92,89,1.89,RU,1586997711
101,Pevek,69.7,170.31,261.4,93,100,1.07,RU,1586997177
102,Ostrovnoy,68.05,39.51,274.47,95,100,2.53,RU,1586997128
103,Souillac,-20.52,57.52,298.15,83,40,7.2,MU,1586997410
104,Iqaluit,63.75,-68.51,267.15,62,90,6.7,CA,1586997285
105,Half Moon Bay,37.46,-122.43,301.15,43,5,5.7,US,1586997126
106,Raudeberg,61.99,5.14,279.15,68,61,6.2,NO,1586997113
107,Port Hardy,50.7,-127.42,287.15,67,40,4.6,CA,1586997443
108,Kodinsk,58.69,99.18,277.89,75,93,1.37,RU,1586997147
109,Tiksi,71.69,128.87,253.41,91,100,4.4,RU,1586997195
110,Beringovskiy,63.05,179.32,270.39,97,99,4.68,RU,1586997713
111,Port Alfred,-33.59,26.89,288.71,89,33,3.64,ZA,1586997170
112,Vorukh,39.85,70.58,277.05,44,31,1.18,TJ,1586997714
113,Hermanus,-34.42,19.23,288.15,86,30,0.89,ZA,1586997168
114,Vestmanna,62.16,-7.17,278.15,70,60,5.1,FO,1586997551
115,Yar-Sale,66.83,70.83,261.58,89,1,4.93,RU,1586997714
116,Kruisfontein,-34.0,24.73,287.5,80,96,2.7,ZA,1586997498
117,Ponta do Sol,32.67,-17.1,288.15,72,40,1.5,PT,1586997702
118,Santana do Livramento,-30.89,-55.53,284.71,66,0,2.85,BR,1586997715
119,Borovichi,58.39,33.92,272.57,97,7,2.38,RU,1586997253
120,Tasiilaq,65.61,-37.64,271.15,86,95,0.5,GL,1586997168
121,Les Cayes,18.2,-73.75,299.63,76,21,2.91,HT,1586997716
122,Bathsheba,13.22,-59.52,299.15,74,20,6.2,BB,1586997716
123,Athani,16.73,75.07,295.32,71,27,1.87,IN,1586997716
124,Kavieng,-2.57,150.8,301.48,69,100,1.58,PG,1586997716
125,New Norfolk,-42.78,147.06,289.26,59,40,6.7,AU,1586997189
126,Gombong,-7.61,109.51,300.03,81,31,0.76,ID,1586997717
127,Seymchan,62.88,152.43,262.94,85,83,0.52,RU,1586997717
128,Carinhanha,-14.3,-43.77,294.6,83,100,1.44,BR,1586997717
129,Lata,40.16,-8.33,286.48,87,20,3.6,PT,1586997657
130,Lorengau,-2.02,147.27,302.34,68,79,0.77,PG,1586997190
131,Lompoc,34.64,-120.46,296.48,63,1,5.1,US,1586997077
132,Port Elizabeth,-33.92,25.57,287.15,93,82,2.1,ZA,1586997232
133,Uribia,11.71,-72.27,301.04,59,17,7.96,CO,1586997718
134,Guerrero Negro,27.98,-114.06,297.21,28,0,7.56,MX,1586997262
135,Bambanglipuro,-7.95,110.28,300.02,78,45,1.46,ID,1586997719
136,Aranos,-24.13,19.12,290.18,17,0,4.3,NA,1586997719
137,Chui,-33.7,-53.46,289.85,77,65,8.74,UY,1586997487
138,Cape Town,-33.93,18.42,288.15,87,20,1.5,ZA,1586997684
139,Longyearbyen,78.22,15.64,275.15,69,75,7.2,SJ,1586997720
140,Yulara,-25.24,130.99,301.15,20,59,3.1,AU,1586997720
141,Pedasí,7.53,-80.03,299.12,79,71,3.29,PA,1586997721
142,Coquimbo,-29.95,-71.34,287.15,82,40,1.5,CL,1586997444
143,Butaritari,3.07,172.79,301.67,79,93,7.97,KI,1586997498
144,Meulaboh,4.14,96.13,299.4,83,85,1.81,ID,1586997721
145,Tabat,-2.63,115.23,298.5,90,84,0.74,ID,1586997722
146,Samarai,-10.62,150.67,301.94,75,95,3.54,PG,1586997722
147,Viedma,-40.81,-63.0,290.18,46,88,7.71,AR,1586997722
148,Baraúna,-5.08,-37.62,297.2,88,44,1.7,BR,1586997723
149,Chokurdakh,70.63,147.92,254.39,91,100,3.73,RU,1586997465
150,Zhigansk,66.77,123.37,257.44,90,55,8.97,RU,1586997628
151,Marabu,4.41,114.01,301.15,94,75,1.5,MY,1586997724
152,Saint-Augustin,51.23,-58.65,271.25,92,13,4.33,CA,1586997183
153,Ningxiang,37.34,111.21,281.09,27,31,8.66,CN,1586997724
154,Mutsu,41.29,141.22,280.93,39,40,3.1,JP,1586997725
155,Husavik,66.04,-17.34,273.15,94,75,2.1,IS,1586997725
156,Makakilo City,21.35,-158.09,301.15,57,75,5.1,US,1586997725
157,Pochutla,15.74,-96.47,304.82,74,5,3.1,MX,1586997725
158,Lodja,-3.48,23.43,296.54,70,65,0.81,CD,1586997726
159,Port Blair,11.67,92.75,301.12,75,85,1.05,IN,1586997726
160,Yenagoa,4.92,6.26,299.32,91,98,1.96,NG,1586997679
161,Nome,64.5,-165.41,276.48,86,90,0.78,US,1586996939
162,Omsukchan,62.53,155.8,264.77,86,21,0.8,RU,1586997727
163,Zhezkazgan,47.8,67.71,278.82,51,0,1.99,KZ,1586997716
164,Itarema,-2.92,-39.92,298.39,84,100,1.75,BR,1586997153
165,Ternate,0.8,127.4,302.24,67,46,0.83,ID,1586997728
166,Bridgetown,13.1,-59.62,299.15,74,20,6.2,BB,1586997728
167,Mayumba,-3.43,10.66,300.82,88,100,3.8,GA,1586997148
168,Aleksandrov Gay,50.15,48.57,277.5,73,100,2.95,RU,1586997728
169,Saint Anthony,45.02,-93.22,274.26,40,20,5.1,US,1586997492
170,Mahébourg,-20.41,57.7,298.15,83,40,7.2,MU,1586997554
171,Saskylakh,71.92,114.08,253.87,91,99,2.93,RU,1586997675
172,Ondjiva,-17.07,15.73,294.57,41,2,1.68,AO,1586997488
173,Tukan,53.84,57.46,276.76,60,100,3.89,RU,1586997730
174,Sarakhs,36.54,61.16,280.15,93,0,2.1,IR,1586997730
175,Saint-Joseph,-21.37,55.62,297.15,69,20,4.6,RE,1586997730
176,Eureka,40.8,-124.16,287.59,76,1,7.2,US,1586997730
177,Iralaya,15.0,-83.23,302.15,70,5,5.1,HN,1586997731
178,Mandalgovi,45.76,106.27,273.78,50,2,7.51,MN,1586997731
179,Xai-Xai,-25.05,33.64,295.51,94,9,2.54,MZ,1586997731
180,Khatanga,71.97,102.5,252.75,90,0,3.22,RU,1586997192
181,Boende,-0.22,20.87,297.18,74,46,0.65,CD,1586997732
182,Kyabé,9.45,18.94,302.43,12,0,1.18,TD,1586997150
183,Qaanaaq,77.48,-69.36,259.02,88,56,0.85,GL,1586997420
184,Siguiri,11.67,-9.5,301.26,51,9,1.71,GN,1586997733
185,Sanandij,35.31,46.99,281.31,33,0,1.4,IR,1586997733
186,Ballina,-28.87,153.57,299.15,54,7,1.5,AU,1586997143
187,Yerbogachën,61.28,108.01,274.29,82,100,3.44,RU,1586997700
188,Kaitangata,-46.28,169.85,285.93,54,44,7.6,NZ,1586997186
189,Qandala,11.47,49.87,302.21,66,28,3.64,SO,1586997734
190,Marawi,8.0,124.29,298.73,59,59,0.85,PH,1586997141
191,Qingdao,36.1,120.37,289.15,41,100,7.0,CN,1586997734
192,Pangody,65.85,74.49,262.16,90,0,4.93,RU,1586997735
193,Romhány,47.93,19.26,280.37,69,0,1.85,HU,1586997735
194,Karpogory,64.0,44.45,273.96,90,100,5.22,RU,1586997735
195,Rocha,-34.48,-54.33,289.29,80,73,7.18,UY,1586997188
196,Nguruka,-5.11,31.04,291.98,70,59,0.51,TZ,1586997736
197,Fuyang,32.9,115.82,292.37,67,76,2.98,CN,1586997736
198,Laguna,38.42,-121.42,302.15,26,1,1.4,US,1586997147
199,Volchikha,52.03,80.38,276.11,72,0,3.39,RU,1586997737
200,Bethel,41.37,-73.41,282.59,26,1,2.6,US,1586997251
201,Hofn,64.25,-15.21,275.05,79,36,4.5,IS,1586997737
202,Mangochi,-14.48,35.26,294.21,73,11,1.1,MW,1586997737
203,Kilindoni,-7.91,39.67,301.75,78,96,7.61,TZ,1586997739
204,West Bay,19.37,-81.42,302.15,74,20,2.6,KY,1586997739
205,Māngrol,21.12,70.12,299.99,56,31,5.37,IN,1586997739
206,Ulladulla,-35.35,150.47,297.15,41,100,4.6,AU,1586997740
207,Ngunguru,-35.62,174.5,295.37,67,18,1.34,NZ,1586997740
208,Novyy Urgal,51.07,132.56,281.0,47,0,0.18,RU,1586997740
209,Necochea,-38.55,-58.74,286.48,77,0,0.89,AR,1586997467
210,Vardø,70.37,31.11,274.65,87,99,5.94,NO,1586997617
211,Kargasok,59.06,80.86,273.5,94,75,3.7,RU,1586997741
212,Tweed,44.48,-77.32,275.37,51,75,5.1,CA,1586997741
213,Mar del Plata,-38.0,-57.56,287.04,81,0,1.5,AR,1586997058
214,Namatanai,-3.67,152.43,301.45,71,99,1.68,PG,1586997741
215,Sonoita,31.85,-112.83,299.82,9,0,4.29,MX,1586997742
216,Moorhead,46.87,-96.77,274.26,50,75,4.6,US,1586997742
217,Fairbanks,64.84,-147.72,284.15,37,75,0.99,US,1586997742
218,Verkhozim,52.71,45.42,274.26,84,39,4.46,RU,1586997743
219,Tacuatí,-23.45,-56.58,289.54,43,0,1.53,PY,1586997743
220,Rome,43.21,-75.46,276.15,55,20,3.6,US,1586997531
221,Erdenet,49.03,104.08,274.85,47,0,1.37,MN,1586997744
222,Valdivia,-39.81,-73.25,284.88,85,100,3.28,CL,1586997744
223,Shīeli,44.17,66.75,282.13,46,0,3.6,KZ,1586997665
224,Elk City,35.41,-99.4,289.15,38,1,7.7,US,1586997745
225,Wenling,28.37,121.36,292.59,80,1,3.23,CN,1586997745
226,Anloga,5.79,0.9,303.15,79,20,3.6,GH,1586997239
227,Severo-Kuril'sk,50.68,156.12,273.62,92,100,6.57,RU,1586997609
228,Guia Lopes da Laguna,-21.46,-56.11,288.07,61,0,1.98,BR,1586997746
229,Bandarbeyla,9.49,50.81,300.61,76,9,2.99,SO,1586997746
230,Bambous Virieux,-20.34,57.76,298.15,83,40,7.2,MU,1586997490
231,Burnie,-41.07,145.92,290.37,60,71,3.58,AU,1586997746
232,Kloulklubed,7.04,134.26,302.15,79,75,3.6,PW,1586997569
233,Tessalit,20.2,1.01,301.82,19,100,5.3,ML,1586997747
234,Constantine,36.37,6.61,285.15,81,100,1.51,DZ,1586997747
235,Brodowski,-20.98,-47.66,295.15,78,100,1.0,BR,1586997695
236,Lucapa,-8.42,20.74,293.98,71,100,0.21,AO,1586997748
237,Montepuez,-13.13,39.0,293.07,86,21,1.59,MZ,1586997671
238,Mahibadhoo,3.78,72.97,302.41,69,93,2.18,MV,1586997748
239,Faanui,-16.48,-151.75,301.77,66,50,3.92,PF,1586997546
240,Oyón,-10.67,-76.77,279.33,29,82,1.11,PE,1586997749
241,Saint-Louis,16.33,-15.0,300.15,34,1,2.1,SN,1586997749
242,Big Rapids,43.7,-85.48,272.59,28,1,2.6,US,1586997749
243,Altamont,42.21,-121.74,290.37,33,1,8.2,US,1586997749
244,Walvis Bay,-22.96,14.51,287.04,93,0,2.6,NA,1586997750
245,Isangel,-19.55,169.27,300.15,94,75,3.73,VU,1586997750
246,Ouahigouya,13.58,-2.42,300.18,39,32,7.23,BF,1586997750
247,Williston,48.15,-103.62,277.15,25,1,5.1,US,1586997751
248,Kichmengskiy Gorodok,59.98,45.79,276.36,91,100,5.54,RU,1586997751
249,Qūchān,37.11,58.51,278.74,51,0,2.37,IR,1586997752
250,Leshukonskoye,64.9,45.76,275.15,84,100,6.11,RU,1586997752
251,Ancud,-41.87,-73.82,284.15,100,90,6.7,CL,1586997576
252,Broome,42.25,-75.83,277.04,47,90,0.99,US,1586997702
253,Lázaro Cárdenas,17.96,-102.2,300.32,54,37,3.17,MX,1586997000
254,Korla,41.76,86.15,289.53,29,100,4.31,CN,1586997545
255,Karpathos,35.51,27.21,288.15,77,38,17.0,GR,1586997753
256,Mukhen,48.1,136.1,282.76,44,0,2.89,RU,1586997754
257,Champerico,14.3,-91.92,303.23,63,63,1.11,GT,1586997483
258,Codrington,-38.27,141.97,289.02,75,29,8.21,AU,1586997158
259,Puerto Ayora,-0.74,-90.35,301.15,74,40,7.7,EC,1586997168
260,Dunedin,-45.87,170.5,287.04,58,32,6.26,NZ,1586997755
261,Ilulissat,69.22,-51.1,271.15,68,100,1.0,GL,1586997270
262,Novo Aripuanã,-5.12,-60.38,296.37,95,88,0.99,BR,1586997755
263,Bariloche,-41.15,-71.31,284.15,93,75,2.1,AR,1586997756
264,Japura,-0.32,102.35,297.37,94,92,0.39,ID,1586997756
265,São José da Coroa Grande,-8.9,-35.15,300.2,82,18,3.38,BR,1586997269
266,Talcahuano,-36.72,-73.12,286.15,93,97,2.6,CL,1586997533
267,Ojinaga,29.57,-104.42,299.15,16,1,1.5,MX,1586997757
268,Havre-St-Pierre,50.23,-63.6,272.15,86,90,2.1,CA,1586997645
269,Beni Mazar,28.5,30.8,294.96,21,48,2.58,EG,1586997516
270,Baruun-Urt,46.68,113.28,277.9,42,8,5.13,MN,1586997758
271,Boden,65.83,21.69,272.15,100,100,1.5,SE,1586997758
272,Avarua,-21.21,-159.78,301.15,58,85,5.1,CK,1586997169
273,Touros,-5.2,-35.46,298.15,94,20,1.5,BR,1586997759
274,Luganville,-15.53,167.17,301.15,74,75,1.5,VU,1586997759
275,Nara,34.69,135.8,289.82,51,96,0.5,JP,1586997646
276,Esperance,-33.87,121.9,289.15,77,90,4.1,AU,1586997204
277,Kalmunai,7.42,81.82,300.36,74,81,0.58,LK,1586997760
278,Heyang,26.1,107.47,290.17,68,87,3.43,CN,1586997760
279,Copacabana,6.35,-75.51,289.15,93,40,2.1,CO,1586997760
280,Roncesvalles,4.01,-75.6,285.83,50,98,1.12,CO,1586997761
281,Tual,-5.67,132.75,301.53,73,53,1.2,ID,1586997761
282,Yaan,7.38,8.57,302.28,64,65,4.07,NG,1586997761
283,Mount Gambier,-37.83,140.77,288.15,77,75,5.7,AU,1586997761
284,Constitución,-35.33,-72.42,285.99,74,99,1.54,CL,1586997762
285,Chegdomyn,51.12,133.02,281.35,45,0,1.09,RU,1586997762
286,Provideniya,64.38,-173.3,273.15,96,90,6.0,RU,1586997459
287,Conakry,9.54,-13.68,301.15,74,75,2.1,GN,1586997763
288,Leh,34.17,77.58,272.65,20,27,2.48,IN,1586997763
289,Slave Lake,55.28,-114.77,276.15,59,40,2.6,CA,1586997686
290,Hailar,49.2,119.7,281.32,37,56,3.14,CN,1586997763
291,Umluj,25.02,37.27,297.05,33,0,6.43,SA,1586997764
292,Winnemucca,40.97,-117.74,291.15,23,40,5.1,US,1586997764
293,Khovd,48.01,91.64,279.87,36,88,0.63,MN,1586997674
294,Alta Floresta,-9.88,-56.09,294.47,91,100,1.22,BR,1586997764
295,Dikson,73.51,80.55,257.99,84,58,1.4,RU,1586997389
296,Sistranda,63.73,8.83,277.15,80,40,12.3,NO,1586997765
297,Marystown,47.17,-55.15,274.43,96,100,5.4,CA,1586997765
298,Ust-Nera,64.57,143.2,265.29,86,100,2.62,RU,1586997765
299,Waipawa,-41.41,175.52,291.15,59,35,7.7,NZ,1586997766
300,Gonder,12.6,37.47,290.63,18,78,1.45,ET,1586997766
301,Laas,46.62,10.7,278.15,80,5,1.89,IT,1586997378
302,Sisimiut,66.94,-53.67,270.7,95,73,8.49,GL,1586997766
303,Muisne,0.6,-80.03,299.34,85,73,2.81,EC,1586997766
304,Pontes e Lacerda,-15.23,-59.34,293.11,71,9,1.62,BR,1586997623
305,Nhulunbuy,-12.23,136.77,302.15,74,75,5.7,AU,1586997767
306,Gaza,31.5,34.47,290.37,77,20,1.0,PS,1586997767
307,Inndyr,67.03,14.03,275.15,74,75,5.1,NO,1586997767
308,Dartford,51.44,0.22,282.04,81,6,2.6,GB,1586997651
309,Ayr,55.46,-4.63,278.71,86,20,1.5,GB,1586997768
310,Muroto-misakicho,33.28,134.15,289.15,55,75,1.5,JP,1586997768
311,Garden City,42.33,-83.33,274.82,64,40,3.1,US,1586997768
312,Ketchikan,55.34,-131.65,285.15,81,90,8.2,US,1586997769
313,Sembakung,3.82,117.25,299.55,76,48,1.19,ID,1586997769
314,Anadyr,64.75,177.48,267.04,92,40,3.0,RU,1586997769
315,Ossora,59.24,163.07,271.71,97,100,2.04,RU,1586997757
316,Chumikan,54.72,135.31,279.18,62,9,3.47,RU,1586997769
317,Nioro,13.35,-15.75,299.04,27,8,4.65,GM,1586997770
318,Teguise,29.06,-13.56,291.15,63,20,1.5,ES,1586997770
319,Plácido de Castro,-10.34,-67.19,294.49,87,94,2.12,BR,1586997733
320,Jumla,29.27,82.18,281.25,28,21,0.89,NP,1586997771
321,Port Lincoln,-34.73,135.87,290.69,66,21,7.47,AU,1586997365
322,Muros,42.78,-9.06,287.59,93,20,3.1,ES,1586997640
323,Skibbereen,51.55,-9.27,280.15,65,20,4.6,IE,1586997771
324,La Ronge,55.1,-105.28,273.15,81,75,6.7,CA,1586997437
325,Paraíso,9.84,-83.87,297.15,73,75,5.7,CR,1586997772
326,Dubrovka,53.69,33.51,276.31,79,100,5.36,RU,1586997772
327,Birao,10.28,22.79,297.3,15,1,3.52,CF,1586997773
328,Qaqortoq,60.72,-46.03,276.15,74,100,1.5,GL,1586997773
329,Yarkovo,57.4,67.08,274.13,90,13,2.57,RU,1586997773
330,Ashtabula,41.7,-80.77,275.37,87,90,3.1,US,1586997773
331,Kannauj,27.05,79.92,300.43,16,0,3.09,IN,1586997774
332,Rockport,28.02,-97.05,292.04,63,1,4.1,US,1586997774
333,Bījār,35.87,47.61,279.67,31,0,1.88,IR,1586997774
334,Panzós,15.4,-89.67,305.48,38,41,1.26,GT,1586997774
335,Baní,18.28,-70.33,300.93,79,16,0.89,DO,1586997653
336,College,64.86,-147.8,284.15,37,75,0.95,US,1586997775
337,Padang,-0.95,100.35,299.15,77,64,2.19,ID,1586997650
338,Nouadhibou,20.93,-17.03,291.15,93,23,6.2,MR,1586997776
339,Erenhot,43.65,111.98,278.3,41,69,6.93,CN,1586997776
340,Barcelos,41.54,-8.62,287.15,82,40,6.7,PT,1586997776
341,Beroroha,-21.67,45.17,297.14,59,0,5.85,MG,1586997776
342,Los Llanos de Aridane,28.66,-17.92,294.15,52,0,4.1,ES,1586997777
343,Deer Lake,49.17,-57.43,274.15,69,90,0.75,CA,1586997261
344,Grindavik,63.84,-22.43,276.15,86,20,2.1,IS,1586997777
345,Richards Bay,-28.78,32.04,294.28,78,97,1.42,ZA,1586997514
346,Corpus Christi,27.8,-97.4,294.15,52,75,5.1,US,1586997778
347,Imbituba,-28.24,-48.67,292.15,63,0,4.1,BR,1586997778
348,Departamento de Maldonado,-34.67,-54.92,289.82,80,75,5.36,UY,1586997778
349,Taoudenni,22.68,-3.98,302.78,32,41,0.78,ML,1586997779
350,Tooele,40.53,-112.3,287.15,53,75,6.7,US,1586997579
351,Pangnirtung,66.15,-65.71,265.33,90,100,3.24,CA,1586997779
352,Katherine,-14.47,132.27,304.15,55,63,2.6,AU,1586997779
353,Klaksvík,62.23,-6.59,278.15,70,38,5.1,FO,1586997654
354,Sungai Udang,2.27,102.14,299.15,88,20,1.5,MY,1586997780
355,Toribío,2.95,-76.27,297.15,73,75,2.1,CO,1586997780
356,Kandrian,-6.22,149.55,303.23,66,56,2.07,PG,1586997780
357,Ust-Kuyga,70.02,135.6,255.66,89,100,5.21,RU,1586997781
358,Russell,32.35,-85.2,288.15,41,1,3.1,US,1586997781
359,Rockland,41.17,-74.05,283.71,30,1,2.1,US,1586997781
360,Bonfim,3.08,-59.95,304.79,38,65,3.65,BR,1586997782
361,Lagoa,39.05,-27.98,286.73,70,3,9.18,PT,1586997782
362,Mbanza-Ngungu,-5.25,14.87,294.93,80,100,1.18,CD,1586997782
363,Najrān,17.49,44.13,295.15,64,1,2.1,SA,1586997783
364,Kununurra,-15.77,128.73,301.15,58,100,1.0,AU,1586997783
365,Meadow Lake,34.8,-106.54,292.04,13,1,6.7,US,1586997783
366,Pierre,44.37,-100.35,275.93,80,90,7.7,US,1586997784
367,Makīnsk,52.63,70.42,277.33,72,82,4.66,KZ,1586997784
368,Marsh Harbour,26.54,-77.06,298.72,84,87,5.71,BS,1586997751
369,Ambon City,-3.7,128.18,302.15,74,20,1.0,ID,1586997784
370,Charlestown,-32.95,151.67,299.82,50,86,4.6,AU,1586997785
371,Naze,28.37,129.48,293.15,64,40,4.6,JP,1586997575
372,Henties Bay,-22.12,14.28,287.04,92,0,0.45,NA,1586997785
